route_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
2-10493,2,"Fraser to Fyshwick via Belconnen & City",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
3-10493,3,"Spence to Brindabella via City & Airport",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
4-10493,4,"Belconnen to Tuggeranong via City",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
5-10493,5,"Lanyon to City via Erindale & Russell",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
6-10493,6,"Woden to City West via Kingston",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
7-10493,7,"Weston Creek to City via Cooleman Court",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
8-10493,8,"Belconnen to Gunghalin via Gundaroo Dr",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
9-10493,9,"Belconnen to Watson via Bruce & Dickson",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
10-10493,10,"Denman Prospect to City via John Gorton Dr",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
18-10493,18,"Mitchell Loop via Harrison & Franklin",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
19-10493,19,"Bonner Loop via Forde & Amaroo",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
20-10493,20,"Bonner Loop via Amaroo & Forde",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
21-10493,21,"Franklin Loop via Palmerston & Harrison",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
22-10493,22,"Franklin Loop via Harrison & Palmerston",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
23-10493,23,"Nicholls Loop via Crace & Palmerston",,3,0042AC,FFFFFF,http://www.transport.act.gov.au/routes-and-timetables/timetables/
